"","confcar","sex","race","num","horn","carval","month","day","miltime","time","ccstatus","valuediff"
"1","Q45","male","black",1,"no_horn",3575,"March","Thursday",1130,12.38,"high",53425
"2","Q45","female","white",1,"yes_horn",12450,"March","Thursday",1145,35.58,"high",44550
"3","Q45","male","white",1,"yes_horn",5950,"March","Thursday",1200,49.4,"high",51050
"4","Q45","female","white",1,"no_horn",4675,"March","Thursday",1215,55.27,"high",52325
"5","Q45","female","white",1,"yes_horn",6650,"March","Thursday",1230,17.9,"high",50350
"6","Q45","male","white",1,"no_horn",4475,"March","Thursday",1245,35.1,"high",52525
"7","Q45","male","white",1,"no_horn",9625,"March","Thursday",1300,21.94,"high",47375
"8","Q45","female","white",2,"no_horn",14000,"March","Thursday",1315,33.71,"high",43000
"9","Q45","male","other",2,"yes_horn",10100,"March","Thursday",1330,52.65,"high",46900
"10","Q45","female","white",1,"yes_horn",12250,"March","Thursday",1345,33.01,"high",44750
"11","Q45","male","white",1,"yes_horn",6350,"March","Thursday",1400,78.82,"high",50650
"12","Q45","female","white",1,"no_horn",4900,"March","Thursday",1415,46.99,"high",52100
"13","Q45","female","black",1,"yes_horn",14900,"March","Thursday",1430,39.69,"high",42100
"14","Q45","male","black",1,"no_horn",6775,"March","Thursday",1445,22.09,"high",50225
"15","Q45","female","black",1,"yes_horn",9975,"March","Thursday",1500,63.61,"high",47025
"16","Q45","female","black",2,"no_horn",2050,"March","Friday",1215,49.46,"high",54950
"17","Q45","female","black",1,"yes_horn",6200,"March","Friday",1230,91.09,"high",50800
"18","Q45","male","white",1,"no_horn",11650,"March","Friday",1245,20.69,"high",45350
"19","Q45","male","white",2,"no_horn",6200,"March","Friday",1300,24.97,"high",50800
"20","Q45","female","white",2,"no_horn",2050,"March","Friday",1315,31.98,"high",54950
"21","Q45","male","black",1,"yes_horn",6525,"March","Friday",1330,26.86,"high",50475
"22","Q45","female","white",2,"yes_horn",7275,"March","Friday",1345,44.59,"high",49725
"23","Q45","male","white",1,"no_horn",7200,"March","Friday",1400,20.2,"high",49800
"24","Q45","female","white",2,"yes_horn",7575,"March","Friday",1415,43.3,"high",49425
"25","Q45","female","white",1,"no_horn",4300,"March","Friday",1430,25.09,"high",52700
"26","Q45","male","white",1,"no_horn",7350,"March","Friday",1445,11.24,"high",49650
"27","Q45","female","black",1,"yes_horn",2375,"March","Friday",1500,23.89,"high",54625
"28","Q45","male","white",2,"no_horn",5750,"March","Friday",1515,20.62,"high",51250
"29","Q45","male","black",2,"yes_horn",6150,"March","Friday",1530,25.57,"high",50850
"30","Q45","male","white",1,"yes_horn",14100,"March","Friday",1545,60.89,"high",42900
"31","Q45","male","other",1,"no_horn",18780,"March","Saturday",1100,23.08,"high",38220
"32","Q45","male","black",1,"no_horn",2300,"March","Saturday",1115,20.94,"high",54700
"33","Q45","female","white",1,"yes_horn",16200,"March","Saturday",1130,40.93,"high",40800
"34","Q45","male","white",1,"no_horn",3975,"March","Saturday",1145,24.19,"high",53025
"35","Q45","male","black",2,"yes_horn",4800,"March","Saturday",1200,41.52,"high",52200
"36","Q45","female","other",1,"no_horn",6450,"March","Saturday",1215,38.79,"high",50550
"37","Q45","male","white",2,"yes_horn",12350,"March","Saturday",1230,19.26,"high",44650
"38","Q45","female","white",2,"no_horn",13150,"March","Saturday",1245,18.39,"high",43850
"39","Q45","female","white",2,"yes_horn",5800,"March","Saturday",1300,23.3,"high",51200
"40","Q45","female","white",2,"yes_horn",13100,"March","Saturday",1315,48.84,"high",43900
"41","Q45","female","white",1,"no_horn",8000,"March","Saturday",1330,31.36,"high",49000
"42","Q45","male","white",2,"yes_horn",29900,"March","Saturday",1345,28.88,"high",27100
"43","Q45","female","white",2,"no_horn",36500,"March","Saturday",1400,27.43,"high",20500
"44","Q45","female","white",1,"yes_horn",5975,"March","Saturday",1415,30.68,"high",51025
"45","Q45","female","white",3,"yes_horn",8850,"March","Saturday",1430,30.55,"high",48150
"46","Q45","female","white",2,"no_horn",4200,"March","Saturday",1445,80.01,"high",52800
